text,hs_code,hs_chapter,hs_chapter_name,hs_desc,language
"Kieserite, epsomite (natural magnesium sulphates), for export under standard commercial terms, shipping term CIF.",253020,HS 25,HS 25,"Kieserite, epsomite (natural magnesium sulphates)",en
"Antibiotics; erythromycin and its derivatives; salts thereof, for bulk procurement program, packed in cartons.",294150,HS 29,HS 29,Antibiotics; erythromycin and its derivatives; salts thereof,en
"Imported upholstered seats with wooden frames, customs declaration",940161,HS 94,Furniture,Upholstered seats with wooden frames,en
"Colouring matter; pigments and preparations based on chromium compounds, for cross-border shipment, palletized for container shipment.",320620,HS 32,HS 32,Colouring matter; pigments and preparations based on chromium compounds,en
"Yarn; of flax, single",530610,HS 53,HS 53,"Yarn; of flax, single",en
"Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with cotton, not put up for retail sale",551030,HS 55,HS 55,"Yarn; (not sewing thread), of artificial staple fibres, mixed mainly or solely with cotton, not put up for retail sale",en
"Pima cotton, extra long staple, raw, for industrial procurement contract, packed in cartons.",520100,HS 52,Textiles,"Cotton, not carded or combed",en
"Silicon, containing ≥99.99% Si, quantity: various, for wholesale",280461,HS 28,Chemicals,"Silicon, containing ≥99.99% Si",en
"Electrical apparatus; parts suitable for use solely or principally with the apparatus of heading no. 8535, 8536 or 8537, for industrial procurement contract, packed in cartons.",853890,HS 85,HS 85,"Electrical apparatus; parts suitable for use solely or principally with the apparatus of heading no. 8535, 8536 or 8537",en
"Optical fibres and bundles, quantity: various, for wholesale, for regional retail supply chain, with standard commercial invoice and packing list.",900190,HS 90,Instruments,Optical fibres and bundles,en
"Fish; frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, for bulk procurement program, for 20ft container loading.",030333,HS 03,HS 03,"Fish; frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",en
"Vegetables, leguminous; peas (pisum sativum), shelled, whether or not skinned or split, dried",071310,HS 07,HS 07,"Vegetables, leguminous; peas (pisum sativum), shelled, whether or not skinned or split, dried",en
"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, for regional retail supply chain, with standard commercial invoice and packing list.",020745,HS 02,HS 02,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",en
"Medicaments; containing corticosteroid hormones, their derivatives or structural analogues (but not containing antibiotics), for therapeutic or prophylactic uses, packaged for retail sale, for industrial procurement contract, palletized for container shipment.",300432,HS 30,HS 30,"Medicaments; containing corticosteroid hormones, their derivatives or structural analogues (but not containing antibiotics), for therapeutic or prophylactic uses, packaged for retail sale",en
"Briquettes, ovoids and similar solid fuels; manufactured from coal, for bulk procurement program, for mixed-lot cargo.",270120,HS 27,HS 27,"Briquettes, ovoids and similar solid fuels; manufactured from coal",en
"Fabrics, woven; of cotton, bleached, weighing not more than 200g/m2, n.e.c. in chapter 52",521212,HS 52,HS 52,"Fabrics, woven; of cotton, bleached, weighing not more than 200g/m2, n.e.c. in chapter 52",en
"Food preparations; pasta (excluding stuffed), cooked or otherwise prepared, for international wholesale distribution, for scheduled maritime transport.",190230,HS 19,HS 19,"Food preparations; pasta (excluding stuffed), cooked or otherwise prepared",en
"Luminaires; illuminated signs, illuminated name-plates and the like, designed for use solely with light-emitting diode (LED) light sources, for industrial procurement contract, for mixed-lot cargo.",940561,HS 94,HS 94,"Luminaires; illuminated signs, illuminated name-plates and the like, designed for use solely with light-emitting diode (LED) light sources",en
"Wood; for fuel, sawdust and wood waste and scrap, not agglomerated; sawdust, for international wholesale distribution, shipping term CIF.",440141,HS 44,HS 44,"Wood; for fuel, sawdust and wood waste and scrap, not agglomerated; sawdust",en
"Fresh Honeycrisp apples, sorted by size",080810,HS 08,Fruits,Fresh apples,en
"Multimeters; for measuring or checking voltage, current, resistance or power (other than those for measuring or checking semiconductor wafer or devices), without a recording device",903031,HS 90,HS 90,"Multimeters; for measuring or checking voltage, current, resistance or power (other than those for measuring or checking semiconductor wafer or devices), without a recording device",en
"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",030244,HS 03,HS 03,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",en
"Budget smartphone, 4G LTE, 64GB",851712,HS 85,Electronics,Smartphones,en
Leather; chamois (including combination chamois),411410,HS 41,HS 41,Leather; chamois (including combination chamois),en
"Vinyl chloride, other halogenated olefin polymers; poly(vinyl chloride), not mixed with any other substances, in primary forms",390410,HS 39,HS 39,"Vinyl chloride, other halogenated olefin polymers; poly(vinyl chloride), not mixed with any other substances, in primary forms",en
"Machines and appliances; parts and accessories for those testing hardness, strength, compressibility, elasticity or other mechanical properties of materials (e.g. metal, wood, textiles, paper, plastics), for bonded warehouse delivery, for mixed-lot cargo.",902490,HS 90,HS 90,"Machines and appliances; parts and accessories for those testing hardness, strength, compressibility, elasticity or other mechanical properties of materials (e.g. metal, wood, textiles, paper, plastics)",en
"Yarn; of flax, multiple (folded) or cabled, for bulk procurement program, with standard commercial invoice and packing list.",530620,HS 53,HS 53,"Yarn; of flax, multiple (folded) or cabled",en
"Yarn, artificial; filament, monofilament (less than 67 decitex), single, n.e.c. in heading no. 5403, not for retail sale, not sewing thread, for industrial procurement contract, palletized for container shipment.",540339,HS 54,HS 54,"Yarn, artificial; filament, monofilament (less than 67 decitex), single, n.e.c. in heading no. 5403, not for retail sale, not sewing thread",en
"Wood; coniferous species, other than of pine (Pinus spp.) or fir (Abies spp.) or spruce (Picea spp.), sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness exceeding 6mm, for bonded warehouse delivery, packed in cartons.",440719,HS 44,HS 44,"Wood; coniferous species, other than of pine (Pinus spp.) or fir (Abies spp.) or spruce (Picea spp.), sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness exceeding 6mm",en
"Fabrics, woven; dyed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton",551642,HS 55,HS 55,"Fabrics, woven; dyed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton",en
"Acids; saturated acyclic monocarboxylic acids; anhydrides, halides, peroxides, peroxyacids and halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2915",291590,HS 29,HS 29,"Acids; saturated acyclic monocarboxylic acids; anhydrides, halides, peroxides, peroxyacids and halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2915",en
"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, excluding those made from cotton or synthetic or artificial fibres, for bonded warehouse delivery, shipping term FOB.",600590,HS 60,HS 60,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, excluding those made from cotton or synthetic or artificial fibres",en
"Fabrics; knitted or crocheted fabrics of a width exceeding 30 cm, other than those of heading 60.01, containing by weight 5% or more of elastomeric yarn but not containing rubber thread",600410,HS 60,HS 60,"Fabrics; knitted or crocheted fabrics of a width exceeding 30 cm, other than those of heading 60.01, containing by weight 5% or more of elastomeric yarn but not containing rubber thread",en
"Cases and containers; trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, of vulcanised fibre or of paperboard, or wholly or mainly covered with such materials or with paper",420219,HS 42,HS 42,"Cases and containers; trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, of vulcanised fibre or of paperboard, or wholly or mainly covered with such materials or with paper",en
"Seeds; n.e.c. in heading 1209, of a kind used for sowing",120999,HS 12,HS 12,"Seeds; n.e.c. in heading 1209, of a kind used for sowing",en
"Other parts of cranes, meeting international standards",843149,HS 84,Machinery,Other parts of cranes,en
"Tools, hand; circular saw blades (including slitting or slotting saw blades), with working part of steel",820231,HS 82,HS 82,"Tools, hand; circular saw blades (including slitting or slotting saw blades), with working part of steel",en
"Sulphates; of copper, for regional retail supply chain, for scheduled maritime transport.",283325,HS 28,HS 28,Sulphates; of copper,en
"Fabrics, woven; of cotton, printed, weighing not more than 200g/m2, n.e.c. in chapter 52, for industrial procurement contract, for 20ft container loading.",521215,HS 52,HS 52,"Fabrics, woven; of cotton, printed, weighing not more than 200g/m2, n.e.c. in chapter 52",en
สมาร์ทโฟน แอนดรอยด์ จอ 6.7 นิ้ว,851712,HS 85,Electronics,Smartphones,th
"Vegetable preparations; mushrooms and truffles, other than mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",200390,HS 20,HS 20,"Vegetable preparations; mushrooms and truffles, other than mushrooms of the genus Agaricus, prepared or preserved otherwise than by vinegar or acetic acid",en
"Rubber; natural (excluding latex), in smoked sheets",400121,HS 40,HS 40,"Rubber; natural (excluding latex), in smoked sheets",en
"Diesel motor cars, 1500-2500cc, meeting international standards, for export under standard commercial terms, shipping term FOB.",870332,HS 87,Vehicles,"Diesel motor cars, 1500-2500cc",en
